commit_hash,commit_date,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
45de3db195575a67d13d1505ef07bda82e647ece,2024-11-23 12:34:46,1004,215,2,36,253,932,
680107d30f3b40ef6df36806dc130a11079d170a,2024-11-23 12:33:18,1004,215,2,36,253,932,
8e08cbf759de6709a5b4af6bea3655d293129bb4,2024-11-05 09:33:14,1004,215,2,36,253,932,
206f1beea0c57d2369030426e0ff38623655d9d5,2024-11-03 18:30:04,1004,215,2,36,253,932,
a9eed2d0e5bac899a86c059eb0736ca457bb11f5,2024-10-21 17:42:09,1004,215,2,36,253,932,
28287eb5c74cd31959660f9df827dc2c8072236a,2024-10-17 08:47:31,1004,215,2,36,253,932,
b2f6dec77d077908dbc1a7ad84d3a80f01f9b4f6,2024-10-16 00:33:17,1004,215,2,36,253,932,
38150fe632420dd2a3cb98447989648513a5ae54,2024-10-14 22:04:48,1004,215,2,36,253,932,
1efdc1ea474c39b48d2972539ea70327e335e466,2024-10-14 21:35:49,1004,215,2,36,253,932,
4a66706fbbbe069608cb2bf2326c38e57a5db20b,2024-10-14 21:33:55,1004,215,2,36,253,932,
b9aebbef8f777ce815e865d7215468c9f585166c,2024-10-14 21:04:42,1004,215,2,36,253,932,
014a86a8292afb2140c38c6e6b20c23804f10e7b,2024-10-14 21:01:07,1002,215,2,36,253,930,
6f0faf38597080daca367d741903a99464e32760,2024-10-08 21:28:06,1002,214,2,36,252,930,
93c94722da7ac3c8a5e02d164bfd9237172e0f6e,2024-10-06 23:36:15,1002,214,2,36,252,930,
2ae46b79c9dcba46fa8eb5bbee22f2535f287030,2024-10-06 12:24:21,1002,214,2,36,252,930,
c38a5de175be8e59742be473f4fb2dd6edef5503,2024-10-02 14:26:59,1002,214,2,36,252,930,
87b6e26210565e267eb6bca68829aca715d2e123,2024-10-02 12:14:38,1002,214,2,36,252,930,
79974f22ee82aa622d22dbe5ff6ab4e3f004880f,2024-10-01 10:06:54,1002,214,2,36,252,930,
1f9061d36ba34cfedd2ac25d153eb99c84279de7,2024-09-30 12:24:35,1002,214,2,36,252,930,
41b6f2c0814b6b7c96c68179c9dcf8a4fb34b761,2024-09-28 23:48:49,1002,214,2,36,252,930,
f7a64114b35fd8ee63ce07290f8a2dffd52b215f,2024-09-28 15:11:32,1002,214,2,36,252,930,
a07e5d5ece0459e34ea09abb32c59c5140f618ef,2024-09-24 23:06:27,1003,214,2,36,252,931,
bf8652b8b92899fdcfb420f0f44015aff1c6f15f,2024-09-24 22:28:15,1003,214,2,36,252,931,
da9a952f2ac9e0dc7566842b142b9308e2ab188b,2024-09-24 13:25:10,1003,214,2,36,252,931,
19eeafef1768bfc7624bc2b69c6815d1fb49ad65,2024-09-23 15:50:10,1003,214,2,36,252,931,
30b0398863cb0f54a1988b7e42f63c3cd5b5d506,2024-09-12 16:21:08,1003,214,2,36,252,931,
4b71ab873fea3092c2394e0d91631a762f09ca12,2024-09-11 10:08:10,1003,214,2,36,252,931,
1464fa9c7c4c3f830b6965cfbc54df8d693f1b86,2024-09-08 12:24:07,1003,214,2,36,252,931,
45c216f1350b03f254939cb861fda5b92e8c25bf,2024-09-07 22:46:59,1003,214,2,36,252,931,
867f92a37d06029dffc6fc356fe96ada394c9c06,2024-09-07 15:50:14,1003,214,2,36,252,931,
1c09692fdd2f98454f66e1a4cd207417d58c99f8,2024-09-07 15:49:38,1003,214,2,36,252,931,
1935723c18b45b0a735d9e44ca80a0d4976a5bb9,2024-09-05 23:15:25,1003,214,2,36,252,931,
a51bcd5bbf64f16c27693dfed76103a8d781b79f,2024-09-05 22:04:36,1003,214,2,36,252,931,
45ea41a327d7a696e53ea0a2afa73072e2ea03b6,2024-09-05 18:45:20,1003,214,2,36,252,931,
32c79bae2c6357f4bf62a486f16b0909b346b16f,2024-09-03 20:40:52,1003,214,2,36,252,931,
5c7b694854ca5d6901192dde004a74864f0cf6c3,2024-09-03 07:22:23,1003,214,2,36,252,931,
6f0eb89f00ce563597b680be16fd4fbc28098cf6,2024-09-03 00:20:16,1003,214,2,36,252,931,
a5dab9efc50af956cf7eac77e47ef3d884c6eb0d,2024-09-02 22:46:56,1003,214,2,36,252,931,
38073d444bd920e8a839c770b8b675bd74f046a2,2024-09-02 22:45:03,1003,214,2,36,252,931,
32b18410cf83caefe910e2bdad2130d8ce9c7fbd,2024-09-02 22:20:33,1003,214,2,36,252,931,
528626a02c7bfa404a85857375da5f9b3203ebaa,2024-09-02 21:36:04,1003,214,2,36,252,931,
dcb0e0c3af2dab32d97e1d27db6939ab28ee865f,2024-09-02 21:07:50,1006,211,2,36,249,934,
